planId,type,description,resetPlanId,upgradePlanId,serverId,productId,serverGroupName,leverage,maxTrailingDrawdownPct,profitTargetPct,startingBalance,dailyLossLimitPct,upgradeThresholdPct,maxOpenLots,passUpgradeBreachMove,passUpgradeBreachGroup,profitSharePct,liquidateFriday,inactivityPeriod,requireStopLoss,isResetPlan,price,isInternalPlan,rules,resetUrl,minimumRequiredActiveTradingDays,maximumTime,passCertificateGroupId,vipProgramCertificateGroupId,vipProgramId,payoutCertificateGroupId,lifetimePayoutGroupCertificateId,visibleOnLeaderboard,repeatPlan,repeatEnable,initialWithdrawalDelayDays,subsequentWithdrawalDelayDays,upgradeDelayHours,allowEAs,dailyDrawdownByBalanceEquity,makeDrawdownStatic,platform,createAccountAsDisabled,productCategoryId,isSwing,priceFeed,additionalDrawdown,enableEA,reduceWithdrawalDelay,weeklyWithdrawals,additionalDrawdownPct,enableEaPct,reduceWeeklyWithdrawalPct,weeklyWithdrawalsPct,ninetyFivePayoutPct,additionalDrawdownDollarsAdded,enableEaDollarsAdded,reduceWeeklyWithdrawalDollarsAdded,weeklyWithdrawalsDollarsAdded,minimumProfitForWithdrawalPerct,ninetyFivePayoutDollarsAdded,archived,contractTemplateId,broker,ninetyFivePayout,dailyLossCapLimitPct,dailyCapProfitLimitPct,enableConsistency,eightyFivePayout,eightyFivePayoutPct,eightyFivePayoutDollarsAdded,maxWithdrawalPct0,maxWithdrawalPct1,maxWithdrawalPct2,maxWithdrawalPct3,inserted,updated,minimumProfitTradingDayPct,minimumRequiredProfitableTradingDays,UpgradePlanDescription,ServerGroupDescription,RepeatPlanDescription,PriceFeedProp,LiquidateFridayProp,RequireStopLossProp,CreateAccountAsDisabledProp,VisibleOnLeaderboardProp,AllowEAsProp,DailyDrawdownByBalanceEquityProp,MakeDrawdownStaticProp,PassUpgradeBreachMoveProp,EnableConsistencyProp,HasAddons
2907,Dragon Challenge Phase 3,25K Dragon Challenge Phase 3 (Regular) - Purple Trading SC-5,0,3125,17,99999,demo\USDx_TFT14_FTP,100,10.0000000000,5.0000000000,25000.0000000000,5.0000000000,5.0000000000,0.0000000000,1,demo\AXSE Prop\The Funded Trader\FT5CLOSINGUSD,0.0000000000,1,30,0,0,0.0000000000,0,"""<p>You can find a more detailed list of rules in our FAQ section here:&nbsp;</p>
<p><a href=""""https://help.thefundedtraderprogram.com/en/"""">TFT Help Center</a></p>""",,0,0,532132,0,0,0,0,0,0,0,0,0,0,1,0,1,MT5,0,0,0,0,0,0,0,0,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.0000000000,0.000000000000,1,0,ThinkMarkets,0,0,0,0,0,0.000000000000,0.000000000000,0,0,0,0,12/05/2023 00:49:38,02/15/2024 19:33:16,0.00,0,25K Dragon Challenge Funded (Regular) - ThinkMarkets-5,"demo\USDx_TFT14_FTP (Simulated Live), Dragon Phase 3 (Regular)",,None,True,False,False,False,True,False,True,True,False,True
2908,Dragon Challenge Phase 3,50K Dragon Challenge Phase 3 (Regular) - Purple Trading SC-5,0,3126,22,99999,demo\AXSE Prop\The Funded Trader\FT5DRARG03USD_s,100,10.0000000000,5.0000000000,50000.0000000000,5.0000000000,5.0000000000,0.0000000000,1,demo\AXSE Prop\The Funded Trader\FT5CLOSINGUSD,0.0000000000,1,30,0,0,0.0000000000,0,"""<p>You can find a more detailed list of rules in our FAQ section here:&nbsp;</p>
<p><a href=""""https://help.thefundedtraderprogram.com/en/"""">TFT Help Center</a></p>""",,0,0,532132,0,0,0,0,0,0,0,0,0,0,1,0,1,MT5,0,0,0,0,0,0,0,0,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.0000000000,0.000000000000,1,0,Purple Trading SC,0,0,0,0,0,0.000000000000,0.000000000000,0,0,0,0,12/05/2023 00:49:38,02/09/2024 14:31:24,0.00,0,50K Dragon Challenge Funded (Regular) - ThinkMarkets-5,"demo\AXSE Prop\The Funded Trader\FT5DRARG03USD_s (Simulated Live), Dragon Phase 3 (Regular)",,None,True,False,False,False,True,False,True,True,False,True
2909,Dragon Challenge Phase 3,100K Dragon Challenge Phase 3 (Regular) - Purple Trading SC-5,0,3127,22,99999,demo\AXSE Prop\The Funded Trader\FT5DRARG03USD_s,100,10.0000000000,5.0000000000,100000.0000000000,5.0000000000,5.0000000000,0.0000000000,1,demo\AXSE Prop\The Funded Trader\FT5CLOSINGUSD,0.0000000000,1,30,0,0,0.0000000000,0,"""<p>You can find a more detailed list of rules in our FAQ section here:&nbsp;</p>
<p><a href=""""https://help.thefundedtraderprogram.com/en/"""">TFT Help Center</a></p>""",,0,0,532132,0,0,0,0,0,0,0,0,0,0,1,0,1,MT5,0,0,0,0,0,0,0,0,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.0000000000,0.000000000000,1,0,Purple Trading SC,0,0,0,0,0,0.000000000000,0.000000000000,0,0,0,0,12/05/2023 00:49:38,02/09/2024 14:31:38,0.00,0,100K Dragon Challenge Funded (Regular) - ThinkMarkets-5,"demo\AXSE Prop\The Funded Trader\FT5DRARG03USD_s (Simulated Live), Dragon Phase 3 (Regular)",,None,True,False,False,False,True,False,True,True,False,True
2910,Dragon Challenge Phase 3,200K Dragon Challenge Phase 3 (Regular) - Purple Trading SC-5,0,3128,17,99999,demo\USDx_TFT14_FTP,100,10.0000000000,5.0000000000,200000.0000000000,5.0000000000,5.0000000000,0.0000000000,1,demo\AXSE Prop\The Funded Trader\FT5CLOSINGUSD,0.0000000000,1,30,0,0,0.0000000000,0,"""<p>You can find a more detailed list of rules in our FAQ section here:&nbsp;</p>
<p><a href=""""https://help.thefundedtraderprogram.com/en/"""">TFT Help Center</a></p>""",,0,0,532132,0,0,0,0,0,0,0,0,0,0,1,0,1,MT5,0,0,0,0,0,0,0,0,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.0000000000,0.000000000000,1,0,ThinkMarkets,0,0,0,0,0,0.000000000000,0.000000000000,0,0,0,0,12/05/2023 00:49:38,02/15/2024 19:35:15,0.00,0,200K Dragon Challenge Funded (Regular) - ThinkMarkets-5,"demo\USDx_TFT14_FTP (Simulated Live), Dragon Phase 3 (Regular)",,None,True,False,False,False,True,False,True,True,False,True
2927,Dragon Challenge Phase 3,25K Dragon Challenge Phase 3 (Regular) - Purple Trading SC-4,0,3093,18,99999,demoFXTFT18_FTP,100,10.0000000000,5.0000000000,25000.0000000000,5.0000000000,5.0000000000,0.0000000000,1,CLOSINGUSD,0.0000000000,1,30,0,0,0.0000000000,0,"""<p>You can find a more detailed list of rules in our FAQ section here:&nbsp;</p>
<p><a href=""""https://help.thefundedtraderprogram.com/en/"""">TFT Help Center</a></p>""",,0,0,532132,0,0,0,0,0,0,0,0,0,0,0,0,1,MT4,0,0,0,0,0,0,0,0,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.0000000000,0.000000000000,1,0,ThinkMarkets,0,0,0,0,0,0.000000000000,0.000000000000,0,0,0,0,12/05/2023 01:02:53,02/15/2024 19:37:15,0.00,0,25K Dragon Challenge Funded (Regular) - ThinkMarkets-4,"demoFXTFT18_FTP (Simulated Live), Dragon Phase 3 (Regular)",,None,True,False,False,False,False,False,True,True,False,True
2928,Dragon Challenge Phase 3,50K Dragon Challenge Phase 3 (Regular) - Purple Trading SC-4,0,3094,18,99999,demoFXTFT18_FTP,100,10.0000000000,5.0000000000,50000.0000000000,5.0000000000,5.0000000000,0.0000000000,1,CLOSINGUSD,0.0000000000,1,30,0,0,0.0000000000,0,"""<p>You can find a more detailed list of rules in our FAQ section here:&nbsp;</p>
<p><a href=""""https://help.thefundedtraderprogram.com/en/"""">TFT Help Center</a></p>""",,0,0,532132,0,0,0,0,0,0,0,0,0,0,0,0,1,MT4,0,0,0,0,0,0,0,0,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.0000000000,0.000000000000,1,0,ThinkMarkets,0,0,0,0,0,0.000000000000,0.000000000000,0,0,0,0,12/05/2023 01:03:16,02/15/2024 19:34:04,0.00,0,50K Dragon Challenge Funded (Regular) - ThinkMarkets-4,"demoFXTFT18_FTP (Simulated Live), Dragon Phase 3 (Regular)",,None,True,False,False,False,False,False,True,True,False,True
2929,Dragon Challenge Phase 3,100K Dragon Challenge Phase 3 (Regular) - Purple Trading SC-4,0,3095,21,99999,FTDRARG03USD_s,100,10.0000000000,5.0000000000,100000.0000000000,5.0000000000,5.0000000000,0.0000000000,1,CLOSINGUSD,0.0000000000,1,30,0,0,0.0000000000,0,"""<p>You can find a more detailed list of rules in our FAQ section here:&nbsp;</p>
<p><a href=""""https://help.thefundedtraderprogram.com/en/"""">TFT Help Center</a></p>""",,0,0,532132,0,0,0,0,0,0,0,0,0,0,0,0,1,MT4,0,0,0,0,0,0,0,0,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.0000000000,0.000000000000,1,0,Purple Trading SC,0,0,0,0,0,0.000000000000,0.000000000000,0,0,0,0,12/05/2023 01:03:36,02/09/2024 14:32:33,0.00,0,100K Dragon Challenge Funded (Regular) - ThinkMarkets-4,"FTDRARG03USD_s (Simulated Live), Dragon Phase 3 (Regular)",,None,True,False,False,False,False,False,True,True,False,True
2930,Dragon Challenge Phase 3,200K Dragon Challenge Phase 3 (Regular) - Purple Trading SC-4,0,3096,21,99999,FTDRARG03USD_s,100,10.0000000000,5.0000000000,200000.0000000000,5.0000000000,5.0000000000,0.0000000000,1,CLOSINGUSD,0.0000000000,1,30,0,0,0.0000000000,0,"""<p>You can find a more detailed list of rules in our FAQ section here:&nbsp;</p>
<p><a href=""""https://help.thefundedtraderprogram.com/en/"""">TFT Help Center</a></p>""",,0,0,532132,0,0,0,0,0,0,0,0,0,0,0,0,1,MT4,0,0,0,0,0,0,0,0,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.0000000000,0.000000000000,1,0,Purple Trading SC,0,0,0,0,0,0.000000000000,0.000000000000,0,0,0,0,12/05/2023 01:03:58,02/09/2024 14:32:49,0.00,0,200K Dragon Challenge Funded (Regular) - ThinkMarkets-4,"FTDRARG03USD_s (Simulated Live), Dragon Phase 3 (Regular)",,None,True,False,False,False,False,False,True,True,False,True
2935,Dragon Challenge Phase 3,25K Dragon Challenge Phase 3 (Swing) - Purple Trading SC-5,0,3129,17,99999,demo\USDx_TFT17_FTP,30,10.0000000000,5.0000000000,25000.0000000000,5.0000000000,5.0000000000,0.0000000000,1,demo\AXSE Prop\The Funded Trader\FT5CLOSINGUSD,0.0000000000,0,30,0,0,0.0000000000,0,"""<p>You can find a more detailed list of rules in our FAQ section here:&nbsp;</p>
<p><a href=""""https://help.thefundedtraderprogram.com/en/"""">TFT Help Center</a></p>""",,0,0,532132,0,0,0,0,0,0,0,0,0,0,1,0,1,MT5,0,0,1,0,0,0,0,0,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.0000000000,0.000000000000,1,0,ThinkMarkets,0,0,0,0,0,0.000000000000,0.000000000000,0,0,0,0,12/05/2023 01:13:43,02/15/2024 19:30:11,0.00,0,25K Dragon Challenge Funded (Swing) - ThinkMarkets-5,"demo\USDx_TFT17_FTP (Simulated Live), Dragon Phase 3 (Swing)",,None,False,False,False,False,True,False,True,True,False,True
2936,Dragon Challenge Phase 3,50K Dragon Challenge Phase 3 (Swing) - Purple Trading SC-5,0,3130,17,99999,demo\USDx_TFT17_FTP,30,10.0000000000,5.0000000000,50000.0000000000,5.0000000000,5.0000000000,0.0000000000,1,demo\AXSE Prop\The Funded Trader\FT5CLOSINGUSD,0.0000000000,0,30,0,0,0.0000000000,0,"""<p>You can find a more detailed list of rules in our FAQ section here:&nbsp;</p>
<p><a href=""""https://help.thefundedtraderprogram.com/en/"""">TFT Help Center</a></p>""",,0,0,532132,0,0,0,0,0,0,0,0,0,0,1,0,1,MT5,0,0,1,0,0,0,0,0,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.0000000000,0.000000000000,1,0,ThinkMarkets,0,0,0,0,0,0.000000000000,0.000000000000,0,0,0,0,12/05/2023 01:13:43,02/15/2024 19:36:32,0.00,0,50K Dragon Challenge Funded (Swing) - ThinkMarkets-5,"demo\USDx_TFT17_FTP (Simulated Live), Dragon Phase 3 (Swing)",,None,False,False,False,False,True,False,True,True,False,True
