planId,type,description,resetPlanId,upgradePlanId,serverId,productId,serverGroupName,leverage,maxTrailingDrawdownPct,profitTargetPct,startingBalance,dailyLossLimitPct,upgradeThresholdPct,maxOpenLots,passUpgradeBreachMove,passUpgradeBreachGroup,profitSharePct,liquidateFriday,inactivityPeriod,requireStopLoss,isResetPlan,price,isInternalPlan,rules,resetUrl,minimumRequiredActiveTradingDays,maximumTime,passCertificateGroupId,vipProgramCertificateGroupId,vipProgramId,payoutCertificateGroupId,lifetimePayoutGroupCertificateId,visibleOnLeaderboard,repeatPlan,repeatEnable,initialWithdrawalDelayDays,subsequentWithdrawalDelayDays,upgradeDelayHours,allowEAs,dailyDrawdownByBalanceEquity,makeDrawdownStatic,platform,createAccountAsDisabled,productCategoryId,isSwing,priceFeed,additionalDrawdown,enableEA,reduceWithdrawalDelay,weeklyWithdrawals,additionalDrawdownPct,enableEaPct,reduceWeeklyWithdrawalPct,weeklyWithdrawalsPct,ninetyFivePayoutPct,additionalDrawdownDollarsAdded,enableEaDollarsAdded,reduceWeeklyWithdrawalDollarsAdded,weeklyWithdrawalsDollarsAdded,minimumProfitForWithdrawalPerct,ninetyFivePayoutDollarsAdded,archived,contractTemplateId,broker,ninetyFivePayout,dailyLossCapLimitPct,dailyCapProfitLimitPct,enableConsistency,eightyFivePayout,eightyFivePayoutPct,eightyFivePayoutDollarsAdded,maxWithdrawalPct0,maxWithdrawalPct1,maxWithdrawalPct2,maxWithdrawalPct3,inserted,updated,minimumProfitTradingDayPct,minimumRequiredProfitableTradingDays,UpgradePlanDescription,ServerGroupDescription,RepeatPlanDescription,PriceFeedProp,LiquidateFridayProp,RequireStopLossProp,CreateAccountAsDisabledProp,VisibleOnLeaderboardProp,AllowEAsProp,DailyDrawdownByBalanceEquityProp,MakeDrawdownStaticProp,PassUpgradeBreachMoveProp,EnableConsistencyProp,HasAddons
3,Standard Challenge Phase 2,100K Standard Challenge Phase 2 - Eightcap-4,0,8,3,9999,FdemoF2_Raw-USD,200,12.0000000000,5.0000000000,100000.0000000000,6.0000000000,5.0000000000,0.0000000000,0,,0.0000000000,0,35,0,0,0.0000000000,0,"Profit Target: $5,000
Max Daily Loss: $6,000
Max Total Loss: $12,000
Maximum Days: 60

You can find a more detailed list of rules in our FAQ section here: 

https://help.thefundedtraderprogram.com/en/",,5,60,284212,0,0,0,0,0,3,1,0,0,12,0,0,1,MT4,0,0,0,0,0,0,0,0,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.0000000000,0.000000000000,1,0,Eightcap,0,0,0,0,0,0.000000000000,0.000000000000,0,0,0,0,09/08/2022 08:56:36,06/26/2023 15:47:45,0.00,0,100K Standard Challenge Phase 3 (Funded) - Eightcap-4,"Regular Phase 2  ",,None,False,False,False,False,False,False,True,False,False,True
5,Standard Challenge Phase 2,50K Standard Challenge Phase 2 - Eightcap-4,0,10,3,9999,FdemoF2_Raw-USD,200,12.0000000000,5.0000000000,50000.0000000000,6.0000000000,5.0000000000,0.0000000000,0,,0.0000000000,0,35,0,0,0.0000000000,0,"Profit Target: $2,500
Max Daily Loss: $3,000
Max Total Loss: $6,000
Maximum Days: 60

You can find a more detailed list of rules in our FAQ section here: 

https://help.thefundedtraderprogram.com/en/",,5,60,284212,0,0,0,0,0,5,1,0,0,12,0,0,1,MT4,0,0,0,0,0,0,0,0,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.0000000000,0.000000000000,1,0,Eightcap,0,0,0,0,0,0.000000000000,0.000000000000,0,0,0,0,09/08/2022 08:56:36,06/26/2023 15:47:50,0.00,0,50K Standard Challenge Phase 3 (Funded) - Eightcap-4,"Regular Phase 2  ",,None,False,False,False,False,False,False,True,False,False,True
7,Standard Challenge Phase 2,200K Standard Challenge Phase 2 - Eightcap-4,0,9,3,9999,FdemoF2_Raw-USD,200,12.0000000000,5.0000000000,200000.0000000000,6.0000000000,5.0000000000,0.0000000000,0,,0.0000000000,0,35,0,0,0.0000000000,0,"Profit Target: $10,000
Max Daily Loss: $12,000
Max Total Loss: $24,000
Maximum Days: 60

You can find a more detailed list of rules in our FAQ section here: 

https://help.thefundedtraderprogram.com/en/",,5,60,284212,0,0,0,0,0,7,1,0,0,12,0,0,1,MT4,0,0,0,0,0,0,0,0,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.0000000000,0.000000000000,1,0,Eightcap,0,0,0,0,0,0.000000000000,0.000000000000,0,0,0,0,09/08/2022 08:56:36,06/26/2023 15:47:56,0.00,0,200K Standard Challenge Phase 3 (Funded) - Eightcap-4,"Regular Phase 2  ",,None,False,False,False,False,False,False,True,False,False,True
31,Standard Challenge Phase 2,50K Standard Challenge Phase 2 - Purple Trading,0,10,2,9999,FTRADER04USD,200,12.0000000000,5.0000000000,50000.0000000000,6.0000000000,5.0000000000,0.0000000000,1,CLOSINGUSD,0.0000000000,0,35,0,0,0.0000000000,0,"Profit Target: $2,500
Max Daily Loss: $3,000
Max Total Loss: $6,000
Maximum Days: 60

You can find a more detailed list of rules in our FAQ section here: 

https://help.thefundedtraderprogram.com/en/",,5,60,284212,0,0,0,0,0,31,1,0,0,12,0,0,1,MT4,0,0,0,0,0,0,0,0,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.0000000000,0.000000000000,1,0,Purple Trading SC,0,0,0,0,0,0.000000000000,0.000000000000,0,0,0,0,09/08/2022 08:56:36,01/19/2023 08:19:02,0.00,0,50K Standard Challenge Phase 3 (Funded) - Eightcap-4,"Regular Phase 2  ",,None,False,False,False,False,False,False,True,True,False,True
32,Standard Challenge Phase 2,100K Standard Challenge Phase 2 - Purple Trading,0,8,2,9999,FTRADER04USD,200,12.0000000000,5.0000000000,100000.0000000000,6.0000000000,5.0000000000,0.0000000000,1,CLOSINGUSD,0.0000000000,0,35,0,0,0.0000000000,0,"Profit Target: $5,000
Max Daily Loss: $6,000
Max Total Loss: $12,000
Maximum Days: 60

You can find a more detailed list of rules in our FAQ section here: 

https://help.thefundedtraderprogram.com/en/",,5,60,284212,0,0,0,0,0,32,1,0,0,12,0,0,1,MT4,0,0,0,0,0,0,0,0,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.0000000000,0.000000000000,1,0,Purple Trading SC,0,0,0,0,0,0.000000000000,0.000000000000,0,0,0,0,09/08/2022 08:56:36,01/19/2023 08:19:15,0.00,0,100K Standard Challenge Phase 3 (Funded) - Eightcap-4,"Regular Phase 2  ",,None,False,False,False,False,False,False,True,True,False,True
34,Standard Challenge Phase 2,200K Standard Challenge Phase 2 - Purple Trading,0,9,2,9999,FTRADER04USD,200,12.0000000000,5.0000000000,200000.0000000000,6.0000000000,5.0000000000,0.0000000000,1,CLOSINGUSD,0.0000000000,0,35,0,0,0.0000000000,0,"Profit Target: $10,000
Max Daily Loss: $12,000
Max Total Loss: $24,000
Maximum Days: 60

You can find a more detailed list of rules in our FAQ section here: 

https://help.thefundedtraderprogram.com/en/",,5,60,284212,0,0,0,0,0,34,1,0,0,12,0,0,1,MT4,0,0,0,0,0,0,0,0,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.0000000000,0.000000000000,1,0,Purple Trading SC,0,0,0,0,0,0.000000000000,0.000000000000,0,0,0,0,09/08/2022 08:56:36,01/19/2023 08:19:28,0.00,0,200K Standard Challenge Phase 3 (Funded) - Eightcap-4,"Regular Phase 2  ",,None,False,False,False,False,False,False,True,True,False,True
52,Standard Challenge Phase 2,400K Standard Challenge Phase 2 - Eightcap-4,0,48,3,9999,FdemoF2_Raw-USD,200,12.0000000000,5.0000000000,400000.0000000000,6.0000000000,5.0000000000,0.0000000000,0,,0.0000000000,0,35,0,0,0.0000000000,0,"Profit Target: $20,000
Max Daily Loss: $24,000
Max Total Loss: $48,000
Maximum Days: 60

You can find a more detailed list of rules in our FAQ section here: 

https://help.thefundedtraderprogram.com/en/",,5,60,284212,0,0,0,0,0,52,1,0,0,12,0,0,1,MT4,0,0,0,0,0,0,0,0,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.0000000000,0.000000000000,1,0,Eightcap,0,0,0,0,0,0.000000000000,0.000000000000,0,0,0,0,09/08/2022 08:56:36,06/26/2023 15:48:04,0.00,0,400K Standard Challenge Phase 3 (Funded) - Eightcap-4,"Regular Phase 2  ",,None,False,False,False,False,False,False,True,False,False,True
53,Standard Challenge Phase 2,400K Standard Challenge Phase 2 - Purple Trading,0,48,2,9999,FTRADER04USD,200,12.0000000000,5.0000000000,400000.0000000000,6.0000000000,5.0000000000,0.0000000000,1,CLOSINGUSD,0.0000000000,0,35,0,0,0.0000000000,0,"400K Standard Challenge Phase 2
Profit Target: $20,000
Max Daily Loss: $24,000
Max Total Loss: $48,000
Maximum Days: 35

You can find a more detailed list of rules in our FAQ section here: 

https://help.thefundedtraderprogram.com/en/",,5,60,284212,0,0,0,0,0,53,1,0,0,12,0,0,1,MT4,0,0,0,0,0,0,0,0,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.0000000000,0.000000000000,1,0,Purple Trading SC,0,0,0,0,0,0.000000000000,0.000000000000,0,0,0,0,09/08/2022 08:56:36,01/19/2023 08:19:48,0.00,0,400K Standard Challenge Phase 3 (Funded) - Eightcap-4,"Regular Phase 2  ",,None,False,False,False,False,False,False,True,True,False,True
61,Standard Challenge Phase 2,10K Standard Challenge Phase 2 (regular) - Eightcap-4,0,62,3,9999,FdemoF2_Raw-USD,100,12.0000000000,5.0000000000,10000.0000000000,6.0000000000,5.0000000000,0.0000000000,0,,0.0000000000,1,35,0,0,0.0000000000,0,"Profit Target: $1,250
Max Daily Loss: $1,500
Max Total Loss: $3,000

You can find a more detailed list of rules in our FAQ section here: 

https://help.thefundedtraderprogram.com/en/",,5,60,284212,0,0,0,0,0,61,1,0,0,12,0,0,1,MT4,0,0,0,0,0,0,0,0,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.0000000000,0.000000000000,1,0,Eightcap,0,0,0,0,0,0.000000000000,0.000000000000,0,0,0,0,09/08/2022 08:56:36,06/26/2023 15:48:18,0.00,0,10K Standard Challenge - Phase 3 (Funded) (regular) - Eightcap-4 - old,"Regular Phase 2  ",,None,True,False,False,False,False,False,True,False,False,True
90,Standard Challenge Phase 2,50K Standard Challenge Phase 2 - Eightcap-5,0,106,4,9999,demo\FT2-RAW-USD,200,12.0000000000,5.0000000000,50000.0000000000,6.0000000000,5.0000000000,0.0000000000,0,,0.0000000000,0,35,0,0,0.0000000000,0,"Profit Target: $2,500
Max Daily Loss: $3,000
Max Total Loss: $6,000
Minimum Trading Days: 0 
Maximum Days: 60

You can find a more detailed list of rules in our FAQ section here: 

https://help.thefundedtraderprogram.com/en/",,5,60,284212,0,0,0,0,0,90,1,0,0,12,0,0,1,MT5,0,0,0,0,0,0,0,0,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.0000000000,0.000000000000,1,0,Eightcap,0,0,0,0,0,0.000000000000,0.000000000000,0,0,0,0,09/08/2022 08:56:36,06/26/2023 15:48:27,0.00,0,50K Standard Challenge Phase 3 (Funded) - Eightcap-5,"Regular Phase 2 EA ",,None,False,False,False,False,False,False,True,False,False,True
